,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Nigeria","170.7","161.3","156.3","144.6","138.2","132.4","130.5","128.2","127.1","116.3","109.9","110.6","104.1","97.9","113.0","46.8","49.2","45.7"
"Niue","9.9","9.7","9.8","14.6","14.4","14.4","14.2","13.0","15.4","14.3","13.1","13.0","11.6","10.3","10.3","10.7","8.9","7.5"
"Norway","924.2","876.8","868.9","890.4","877.5","854.6","835.3","781.0","771.2","774.3","727.3","707.5","667.8","630.6","591.3","577.0","515.1","512.6"
"Oman","106.5","113.7","105.1","87.0","86.7","116.6","116.5","126.8","143.7","108.1","110.8","103.4","100.7","118.9","118.4","117.3","127.8","125.4"
"Pakistan","96.7","94.5","89.2","87.6","78.5","67.4","67.8","76.7","78.7","87.7","91.8","89.9","74.1","54.8","52.1","48.5","49.6","53.0"
"Palau","274.8","261.5","246.9","230.1","227.4","223.7","232.5","228.0","220.3","203.0","207.5","194.6","178.5","166.3","159.5","149.5","141.6","141.1"
"Panama","597.1","461.1","458.4","445.7","431.9","421.5","343.9","311.4","289.8","280.6","257.0","229.2","212.2","201.4","179.9","178.8","168.4","162.3"
"Papua New Guinea","9.3","10.6","9.7","7.7","6.7","8.1","8.9","8.1","6.9","5.1","5.2","4.9","7.3","7.9","7.3","7.6","6.5","6.1"
"Paraguay","382.8","360.5","354.7","341.5","317.8","306.4","215.7","202.1","173.1","188.9","168.2","157.4","147.2","145.8","136.3","132.3","149.9","154.9"
"Peru","192.0","193.6","188.8","192.9","198.9","205.7","190.2","183.4","181.5","176.9","153.4","129.8","104.7","100.4","87.7","95.9","93.2","90.1"
"Philippines","197.2","184.8","173.8","160.0","168.1","155.7","141.4","129.7","123.7","118.0","107.1","96.7","86.5","60.7","56.8","46.4","45.3","43.5"
"Poland","451.4","418.9","400.4","374.3","374.9","358.7","341.4","322.6","311.0","285.2","262.9","239.8","226.3","233.2","204.9","190.9","184.0","176.8"
"Portugal","803.2","778.5","737.3","716.7","681.8","695.0","670.3","658.4","643.8","643.3","598.9","566.8","500.5","460.2","431.6","394.4","402.8","396.8"
"Qatar","298.6","309.6","269.2","175.3","182.4","243.0","349.5","410.7","471.9","345.6","413.6","447.5","467.4","572.8","590.8","615.5","555.7","517.9"
"Republic of Korea","1003.4","915.6","864.4","791.3","747.0","725.9","681.8","650.1","597.7","606.6","536.8","479.1","441.5","400.2","381.3","347.0","344.4","313.0"
