,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Netherlands","10.1","10.3","10.3","10.6","10.6","10.5","10.2","10.2","10.0","9.3","9.1","9.1","9.1","9.1","9.1","8.6","8.1","7.7"
"New Zealand","9.2","9.3","9.3","9.4","9.4","9.7","9.5","9.6","9.6","9.1","8.3","8.6","8.3","7.9","7.7","7.9","7.6","7.5"
"Nicaragua","8.6","8.8","8.0","8.0","7.5","7.6","7.4","7.0","7.5","7.0","6.9","6.0","6.1","6.0","5.3","5.7","5.5","5.2"
"Niger","7.7","6.2","7.1","5.9","5.9","5.8","6.6","6.9","7.9","7.4","7.6","8.3","8.2","7.3","7.0","7.3","7.2","7.2"
"Nigeria","3.8","3.6","3.6","3.3","3.4","3.4","3.3","3.3","3.6","3.7","3.9","4.3","4.5","4.6","5.1","2.5","3.2","3.2"
"Niue","8.6","7.7","8.2","10.5","9.2","8.3","15.8","10.3","16.9","16.1","12.8","42.2","10.6","17.3","9.8","12.5","67.0","8.3"
"Norway","10.4","10.5","10.1","9.3","8.9","8.8","8.8","8.9","9.1","8.0","8.0","7.9","8.3","8.8","9.2","9.0","8.0","7.7"
"Oman","3.8","4.3","4.3","3.5","2.8","2.6","2.5","2.8","2.8","2.0","2.4","2.3","2.6","3.0","3.2","3.2","3.1","3.1"
"Pakistan","2.9","2.9","2.7","2.7","2.6","2.4","2.3","2.6","2.6","2.9","3.1","3.0","2.7","2.3","2.4","2.8","2.7","2.9"
"Palau","12.0","11.8","10.9","12.0","12.0","11.4","10.8","11.6","10.4","9.5","10.0","9.7","9.3","10.0","9.1","8.1","8.0","8.9"
"Panama","7.3","7.2","6.8","6.9","6.7","6.6","6.6","7.2","7.0","6.8","6.9","6.6","6.2","7.1","6.7","7.1","7.0","7.0"
"Papua New Guinea","2.5","2.5","1.9","3.3","3.0","2.7","2.3","2.1","2.3","2.1","2.4","2.4","2.5","2.6","2.4","2.7","2.3","2.0"
"Paraguay","6.7","6.7","6.7","6.6","6.1","6.5","5.1","4.6","4.5","4.2","4.2","4.2","4.1","4.2","4.3","4.2","5.0","5.5"
