,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Niue","1106.5","972.3","1037.0","1294.5","1077.9","963.3","1839.9","1095.3","2129.9","1884.0","1371.1","4468.3","1005.5","1399.8","746.2","854.1","4349.8","510.6"
"Norway","6518.9","6143.8","6144.1","6192.9","6012.9","5774.4","5492.1","5190.6","5055.8","4945.3","4525.5","4300.0","3995.4","3761.8","3562.2","3429.1","3037.7","2856.9"
"Oman","1590.8","1856.9","1833.0","1504.4","1213.7","1118.2","1074.4","1218.6","1249.8","868.5","983.3","900.5","954.8","1066.4","1119.7","1155.3","1134.5","1067.4"
"Pakistan","160.6","149.7","134.8","131.6","120.5","105.0","101.0","109.0","108.9","120.0","126.8","115.2","104.3","83.0","79.6","88.3","82.4","86.1"
"Palau","1777.8","1809.4","1652.5","1652.8","1555.5","1500.7","1352.8","1360.5","1203.4","1169.0","1275.8","1208.1","1160.7","1159.2","980.8","887.7","838.3","872.7"
"Panama","1794.8","1681.0","1513.6","1461.8","1336.5","1236.9","1131.2","1097.9","1017.4","993.8","913.7","765.5","658.5","695.3","608.7","613.9","591.5","593.3"
"Papua New Guinea","103.9","104.5","78.2","129.0","102.0","87.8","72.4","65.9","66.8","58.3","66.6","60.3","88.6","92.9","83.1","87.1","73.6","64.8"
"Paraguay","866.6","832.9","802.6","768.9","666.4","659.7","509.5","444.0","386.1","362.9","340.2","323.3","293.0","292.6","282.8","263.9","318.6","349.5"
"Peru","681.2","670.4","637.2","613.1","559.9","531.2","480.7","464.8","448.3","402.0","358.8","331.3","302.5","298.7","300.7","286.7","259.8","233.0"
"Philippines","371.7","344.2","317.3","287.2","292.0","267.0","240.1","236.4","222.7","205.4","191.3","178.9","165.9","127.0","119.0","97.1","101.6","105.6"
